
Conexiones activas

  Proto  Dirección local          Dirección remota        Estado           PID
  TCP    127.0.0.1:63893        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63894        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63895        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63896        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63897        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63898        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63900        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63901        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63902        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63903        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63906        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63907        127.0.0.1:56418        ESTABLISHED     28916
  TCP    127.0.0.1:63910        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:63911        127.0.0.1:58914        ESTABLISHED     17892
  TCP    127.0.0.1:63912        127.0.0.1:62404        TIME_WAIT       0
  TCP    127.0.0.1:64730        127.0.0.1:58915        ESTABLISHED     16952
  TCP    127.0.0.1:64869        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:65378        0.0.0.0:0              LISTENING       14324
  TCP    127.0.0.1:65378        127.0.0.1:54311        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:59508        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:60691        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:61324        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:61801        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:64869        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:65387        ESTABLISHED     14324
  TCP    127.0.0.1:65378        127.0.0.1:65388        ESTABLISHED     14324
  TCP    127.0.0.1:65379        0.0.0.0:0              LISTENING       12640
  TCP    127.0.0.1:65379        127.0.0.1:51812        ESTABLISHED     12640
  TCP    127.0.0.1:65379        127.0.0.1:53139        ESTABLISHED     12640
  TCP    127.0.0.1:65379        127.0.0.1:59955        ESTABLISHED     12640
  TCP    127.0.0.1:65380        0.0.0.0:0              LISTENING       12640
  TCP    127.0.0.1:65380        127.0.0.1:52777        TIME_WAIT       0
  TCP    127.0.0.1:65380        127.0.0.1:52784        TIME_WAIT       0
  TCP    127.0.0.1:65380        127.0.0.1:63909        TIME_WAIT       0
  TCP    127.0.0.1:65380        127.0.0.1:63916        TIME_WAIT       0
  TCP    127.0.0.1:65386        0.0.0.0:0              LISTENING       12640
  TCP    127.0.0.1:65386        127.0.0.1:53138        ESTABLISHED     12640
  TCP    127.0.0.1:65387        127.0.0.1:65378        ESTABLISHED     12640
  TCP    127.0.0.1:65388        127.0.0.1:65378        ESTABLISHED     12640
  TCP    192.168.1.5:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.5:49411      104.208.203.89:443     ESTABLISHED     5864
  TCP    192.168.1.5:49413      104.208.203.90:443     ESTABLISHED     5864
  TCP    192.168.1.5:49913      142.251.129.202:443    ESTABLISHED     17892
  TCP    192.168.1.5:50409      142.250.98.188:5228    ESTABLISHED     25432
  TCP    192.168.1.5:50552      142.251.129.202:443    TIME_WAIT       0
  TCP    192.168.1.5:50555      216.239.36.223:443     ESTABLISHED     17892
  TCP    192.168.1.5:50600      52.123.190.189:443     ESTABLISHED     4348
  TCP    192.168.1.5:50638      142.250.98.188:5228    ESTABLISHED     16736
  TCP    192.168.1.5:51638      52.123.247.0:443       ESTABLISHED     4348
  TCP    192.168.1.5:52735      20.8.195.128:443       TIME_WAIT       0
  TCP    192.168.1.5:52747      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:52748      172.217.30.170:443     ESTABLISHED     17892
  TCP    192.168.1.5:52749      172.217.30.170:443     TIME_WAIT       0
  TCP    192.168.1.5:52750      142.250.218.202:443    ESTABLISHED     17892
  TCP    192.168.1.5:52751      142.251.133.129:443    TIME_WAIT       0
  TCP    192.168.1.5:52755      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:52767      172.217.30.170:443     ESTABLISHED     12640
  TCP    192.168.1.5:52768      172.217.30.170:443     ESTABLISHED     12640
  TCP    192.168.1.5:52769      172.217.30.170:443     TIME_WAIT       0
  TCP    192.168.1.5:52770      142.250.218.202:443    ESTABLISHED     12640
  TCP    192.168.1.5:52771      142.251.133.129:443    ESTABLISHED     12640
  TCP    192.168.1.5:52773      20.8.195.129:443       TIME_WAIT       0
  TCP    192.168.1.5:52778      20.50.73.12:443        TIME_WAIT       0
  TCP    192.168.1.5:52782      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:52783      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:52785      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:52788      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:52995      158.247.127.87:443     ESTABLISHED     9400
  TCP    192.168.1.5:55364      54.80.219.230:443      ESTABLISHED     7528
  TCP    192.168.1.5:55744      54.162.235.133:443     ESTABLISHED     26300
  TCP    192.168.1.5:56985      172.217.30.170:443     CLOSE_WAIT      32864
  TCP    192.168.1.5:56986      172.217.30.170:443     CLOSE_WAIT      32864
  TCP    192.168.1.5:56996      172.217.30.202:443     CLOSE_WAIT      32864
  TCP    192.168.1.5:58235      35.186.224.38:443      ESTABLISHED     16736
  TCP    192.168.1.5:58236      35.186.224.38:443      ESTABLISHED     21164
  TCP    192.168.1.5:59005      174.142.220.20:443     CLOSE_WAIT      18072
  TCP    192.168.1.5:59012      216.239.38.223:443     ESTABLISHED     32864
  TCP    192.168.1.5:59015      216.239.38.223:443     ESTABLISHED     32864
  TCP    192.168.1.5:59018      216.239.38.223:443     ESTABLISHED     32864
  TCP    192.168.1.5:59330      20.189.173.17:443      ESTABLISHED     16952
  TCP    192.168.1.5:60008      172.217.30.170:443     ESTABLISHED     32864
  TCP    192.168.1.5:60843      52.112.86.132:443      ESTABLISHED     5348
  TCP    192.168.1.5:61124      34.158.255.62:4070     ESTABLISHED     21164
  TCP    192.168.1.5:61153      104.46.162.225:443     ESTABLISHED     4348
  TCP    192.168.1.5:61249      52.96.165.130:443      ESTABLISHED     25432
  TCP    192.168.1.5:62071      163.70.152.60:5222     ESTABLISHED     27552
  TCP    192.168.1.5:62149      4.208.13.1:443         TIME_WAIT       0
  TCP    192.168.1.5:63887      104.46.162.225:443     ESTABLISHED     4348
  TCP    192.168.1.5:63899      40.79.189.59:443       ESTABLISHED     3208
  TCP    192.168.1.5:63905      20.8.195.128:443       ESTABLISHED     5852
  TCP    192.168.1.5:63914      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:63915      34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.5:63995      104.208.203.89:443     ESTABLISHED     14048
  TCP    [::]:135               [::]:0                 LISTENING       1612
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3000              [::]:0                 LISTENING       30604
  TCP    [::]:3001              [::]:0                 LISTENING       4680
  TCP    [::]:3306              [::]:0                 LISTENING       8716
  TCP    [::]:3389              [::]:0                 LISTENING       1868
  TCP    [::]:5000              [::]:0                 LISTENING       37048
  TCP    [::]:5173              [::]:0                 LISTENING       37716
  TCP    [::]:6000              [::]:0                 LISTENING       33520
  TCP    [::]:33060             [::]:0                 LISTENING       8716
  TCP    [::]:49664             [::]:0                 LISTENING       1312
  TCP    [::]:49665             [::]:0                 LISTENING       1156
  TCP    [::]:49666             [::]:0                 LISTENING       2252
  TCP    [::]:49667             [::]:0                 LISTENING       3232
  TCP    [::]:49668             [::]:0                 LISTENING       3572
  TCP    [::]:49669             [::]:0                 LISTENING       4124
  TCP    [::]:49679             [::]:0                 LISTENING       1240
  TCP    [::]:62417             [::]:0                 LISTENING       10016
  TCP    [::1]:3000             [::1]:53362            ESTABLISHED     30604
  TCP    [::1]:5000             [::1]:54051            ESTABLISHED     37048
  TCP    [::1]:5000             [::1]:54105            ESTABLISHED     37048
  TCP    [::1]:7679             [::]:0                 LISTENING       32864
  TCP    [::1]:42050            [::]:0                 LISTENING       5356
  TCP    [::1]:53362            [::1]:3000             ESTABLISHED     25432
  TCP    [::1]:54051            [::1]:5000             ESTABLISHED     15784
  TCP    [::1]:54105            [::1]:5000             ESTABLISHED     15784
  UDP    0.0.0.0:1900           *:*                                    21164
  UDP    0.0.0.0:1900           *:*                                    21164
  UDP    0.0.0.0:3389           *:*                                    1868
  UDP    0.0.0.0:5050           *:*                                    5732
  UDP    0.0.0.0:5353           *:*                                    21164
  UDP    0.0.0.0:5353           *:*                                    21164
  UDP    0.0.0.0:5353           *:*                                    30624
  UDP    0.0.0.0:5353           *:*                                    30624
  UDP    0.0.0.0:5353           *:*                                    30624
  UDP    0.0.0.0:5353           *:*                                    21164
  UDP    0.0.0.0:5353           *:*                                    21164
  UDP    0.0.0.0:5353           *:*                                    30624
